Id,SalePrice
2550,13.761939857914168
1664,13.15005097445697
1480,13.145419698002872
1975,13.135292800005434
2264,13.112364626058433
1678,13.077584394213599
2295,13.057979071766425
2293,13.05571975052345
2629,13.044196360224209
2631,13.031336356812007
1971,13.025126522130233
1661,13.016472208801448
1672,12.986765546702518
2292,12.974135315751441
2683,12.971674178797043
1706,12.961449019629454
2290,12.941931115466257
1970,12.918273068488618
1968,12.908327730634655
2294,12.906713435376071
2634,12.899925754793452
2162,12.89846872288942
2652,12.895275514017158
2340,12.881847861547648
2681,12.881104093079916
2268,12.880332477626169
2628,12.868555589541458
2632,12.8635914599071
1663,12.851638839100513
2690,12.844327720213975
1969,12.84144676535092
1476,12.836447886877627
1921,12.834787291347723
1679,12.834257367512784
2299,12.833199919981643
1662,12.832528308878011
2332,12.820915390224688
2655,12.81730611361992
2712,12.80877539612525
2599,12.807210321622856
1667,12.806821935665962
1945,12.806386623386075
2267,12.805494404324994
1977,12.799378528066653
1972,12.798475755639863
2662,12.794680960430838
1926,12.791737805503779
1978,12.789881304826759
2298,12.788745330206327
1670,12.77760788168868
2287,12.77684492054367
2163,12.771362542894499
2331,12.767105416412182
1981,12.765072509322765
2025,12.764818115646202
1997,12.761057893479657
1979,12.758838464093333
1665,12.747036237729457
1668,12.738927728364605
1478,12.735260543495546
2660,12.733955112897538
2661,12.733885737563696
2657,12.732822007715724
2040,12.73100163419352
1698,12.730488500784606
2656,12.729008575392953
1487,12.72689771561758
2291,12.723996353965374
2630,12.723033231450936
2377,12.715949777390485
1699,12.713492909924728
1680,12.712784224475287
2904,12.712312429920027
2289,12.70821139220328
1479,12.703916195466809
1866,12.703696170289486
1630,12.702965906339712
1666,12.700611564980651
1865,12.70010655030748
2665,12.696357922043752
1944,12.687035378271991
2263,12.683714323218
2300,12.681078164234892
2237,12.675383062319385
2903,12.673908111074002
2685,12.673294722051173
1481,12.667539083638909
1974,12.66724467548354
1998,12.66032120605089
2682,12.65737614683779
1922,12.657350289276057
2297,12.655904598351738
1947,12.650752331271871
2625,12.647311884465777
1669,12.641732701540654
2333,12.638298077169528
2711,12.637189027797074
1912,12.635959742203273
2336,12.634498028158035
2596,12.63347911827018
2658,12.633194406877204
2000,12.632127914979327
1956,12.628082377784962
1682,12.627986195361986
2684,12.62652430553273
1737,12.624816336907783
1868,12.617803319507738
2659,12.615331151139868
1494,12.613107176352786
